l_1[-];l_2[-];P_11[MPa];P_22[MPa]
1.0; 1.0;0.0;0.0
1.1000;0.9530;0.1064;0.0000
1.1000;0.9800;0.1246;0.0394
1.1000;1.0000;0.1379;0.0688
1.1000;1.0300;0.1565;0.1114
1.1000;1.0500;0.1682;0.1368
1.1000;1.1000;0.1981;0.1981
1.2000;0.9130;0.1960;0.0000
1.2000;0.9600;0.2233;0.0718
1.2000;1.0000;0.2450;0.1283
1.2000;1.0600;0.2731;0.2032
1.2000;1.1000;0.2911;0.2448
1.2000;1.2000;0.3297;0.3297
1.3000;0.8770;0.2700;0.0000
1.3000;0.9550;0.3170;0.1120
1.3000;0.9700;0.3240;0.1280
1.3000;1.0000;0.3340;0.1790
1.3000;1.0450;0.3410;0.2240
1.3000;1.0900;0.3620;0.2740
1.3000;1.1800;0.3930;0.3510
1.3000;1.3000;0.4210;0.4210
1.6000;0.7910;0.4330;0.0000
1.6000;0.9100;0.4890;0.1770
1.6000;0.9400;0.4990;0.2170
1.6000;1.0000;0.5120;0.2810
1.6000;1.0900;0.5320;0.3670
1.6000;1.1800;0.5440;0.4240
1.6000;1.3600;0.5720;0.5180
1.6000;1.6000;0.6100;0.6100
1.9000;0.7250;0.5530;0.0000
1.9000;0.8650;0.6070;0.2180
1.9000;0.9100;0.6170;0.2720
1.9000;1.0000;0.6280;0.3620
1.9000;1.1350;0.6540;0.4620
1.9000;1.2700;0.6640;0.5220
1.9000;1.5400;0.7010;0.6370
1.9000;1.9000;0.7440;0.7440
2.2000;0.6740;0.6510;0.0000
2.2000;0.8200;0.6990;0.2390
2.2000;0.8800;0.7110;0.3150
2.2000;1.0000;0.7240;0.4220
2.2000;1.1800;0.7490;0.5310
2.2000;1.3600;0.7610;0.6000
2.2000;1.7200;0.8090;0.7350
2.2000;2.2000;0.8620;0.8620
2.5000;0.6320;0.7400;0.0000
2.5000;0.7750;0.7830;0.2550
2.5000;0.8500;0.7860;0.3420
2.5000;1.0000;0.8090;0.4730
2.5000;1.2250;0.8300;0.5880
2.5000;1.4500;0.8530;0.6710
2.5000;1.9000;0.9020;0.8160
2.5000;2.5000;0.9740;0.9740
2.8000;0.5980;0.8270;0.0000
2.8000;0.8200;0.8580;0.3680
2.8000;1.0000;0.8870;0.5160
2.8000;1.2700;0.9100;0.6380
2.8000;1.5400;0.9420;0.7350
2.8000;2.0800;0.9910;0.8920
2.8000;2.8000;1.0820;1.0820
3.1000;0.5680;0.9190;0.0000
3.1000;0.7900;0.9360;0.3870
3.1000;1.0000;0.9590;0.5570
3.1000;1.3150;0.9860;0.6890
3.1000;1.6300;1.0190;0.7960
3.1000;2.2600;1.0790;0.9650
3.1000;3.1000;1.1900;1.1900
3.4000;0.5420;1.0160;0.0000
3.4000;0.7600;1.0140;0.4100
3.4000;1.0000;1.0310;0.5930
3.4000;1.3600;1.0630;0.7390
3.4000;1.7200;1.0880;0.8530
3.4000;2.4400;1.1610;1.0380
3.7000;0.5200;1.1170;0.0000
3.7000;1.0000;1.1020;0.6280
3.7000;1.4050;1.1360;0.7890
