Stretch[-];Stress[MPa]
1.00000000000000e+000;0.00000000000000e+000
1.06722689075630e+000;1.64113785557987e-001
1.11764705882353e+000;2.56017505470460e-001
1.20168067226891e+000;3.54485776805252e-001
1.30252100840336e+000;4.59518599562363e-001
1.42016806722689e+000;5.38293216630197e-001
1.68067226890756e+000;6.76148796498906e-001
1.94117647058824e+000;7.94310722100656e-001
2.48739495798319e+000;9.97811816192560e-001
3.03361344537815e+000;1.28665207877462e+000
3.43697478991597e+000;1.49671772428884e+000
3.75630252100840e+000;1.77899343544858e+000
4.06722689075630e+000;2.04814004376368e+000
4.44537815126050e+000;2.51422319474836e+000
