Stretch[-];Stress[MPa]
1.00000000000000e+000;0.00000000000000e+000
1.02423152035831e+000;2.82511465836337e-002
1.12114496145751e+000;1.31851324390999e-001
1.23416218812609e+000;2.16667965812110e-001
1.39557925384108e+000;3.10964857764641e-001
1.58118991891226e+000;4.05299670719298e-001
1.90388500666778e+000;4.90444960825498e-001
2.17820553604497e+000;5.84918817454616e-001
2.42025529261320e+000;6.69937704220397e-001
3.01728355007995e+000;8.58961259482884e-001
3.57398914195306e+000;1.04792161307516e+000
4.03390769606738e+000;1.22732587413177e+000
4.76019600944654e+000;1.58583102822797e+000
5.36552896637882e+000;1.95355098584072e+000
5.75311952910542e+000;2.32092965443433e+000
6.14876198461671e+000;2.67891655483482e+000
6.40730737710962e+000;3.03668856955660e+000
6.60136178532078e+000;3.41316827866038e+000
6.85991981814773e+000;3.78034470190932e+000
7.05392366502272e+000;4.11920677690442e+000
7.15120367580914e+000;4.49553480199970e+000
7.25654821971429e+000;4.87187546742902e+000
7.40217750821095e+000;5.22006610894704e+000
7.49945751899737e+000;5.59639413404232e+000
7.60526975526207e+000;6.32069791497690e+000
